                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.71325,                0.44778,                 1.1399,                0.98983,                    0.5,                0.49567,                0.40993,                0.73384,                0.42565,                 1.1813,              0.0011139,              0.0011139,              0.0011139
                     35,                0.70871,                0.45039,                 1.1432,                 0.9993,                    0.5,                 0.4975,                0.42295,                0.67705,                0.40931,                 1.1086,              0.0011098,              0.0011098,              0.0011098
                     36,                0.67865,                0.43014,                 1.1359,                0.99919,                    0.5,                 0.4975,                0.42107,                0.67842,                0.40016,                  1.134,              0.0011056,              0.0011056,              0.0011056
                     37,                0.70018,                0.43297,                 1.1391,                0.99922,                    0.5,                 0.4975,                0.41103,                0.74575,                0.41053,                 1.1759,              0.0011015,              0.0011015,              0.0011015
                     38,                0.69919,                 0.4314,                 1.1329,                0.99587,                 0.4902,                 0.4969,                0.42131,                0.71044,                0.41269,                 1.1668,              0.0010974,              0.0010974,              0.0010974
                     39,                 0.6862,                 0.4367,                 1.1373,                0.99011,                0.48592,                0.49694,                0.41178,                0.84775,                0.44837,                 1.2751,              0.0010933,              0.0010933,              0.0010933
                     40,                0.68737,                0.42053,                 1.1393,                0.99908,                    0.5,                 0.4975,                0.41689,                0.66548,                0.42806,                 1.1203,              0.0010891,              0.0010891,              0.0010891
                     41,                0.70358,                0.42666,                 1.1431,                0.99893,                    0.5,                 0.4975,                0.41308,                0.68854,                0.42609,                 1.1156,               0.001085,               0.001085,               0.001085
                     42,                0.68247,                0.42259,                 1.1296,                0.99132,                0.46078,                0.49427,                 0.3693,                 1.0208,                0.61194,                 1.4956,              0.0010809,              0.0010809,              0.0010809
                     43,                0.67113,                0.40807,                 1.1044,                0.99939,                    0.5,                 0.4975,                0.42536,                0.63742,                0.36979,                 1.1102,              0.0010768,              0.0010768,              0.0010768
                     44,                0.65527,                0.41051,                 1.1173,                0.99038,                0.49952,                 0.4974,                0.42727,                0.65369,                0.36031,                 1.1155,              0.0010726,              0.0010726,              0.0010726
                     45,                0.66501,                0.40768,                 1.1029,                0.99944,                    0.5,                 0.4975,                0.42586,                0.68294,                0.37259,                  1.123,              0.0010685,              0.0010685,              0.0010685
                     46,                0.67146,                0.41036,                 1.1268,                0.99028,                    0.5,                0.49625,                0.41638,                0.69719,                 0.4155,                   1.16,              0.0010644,              0.0010644,              0.0010644
                     47,                0.66505,                 0.4135,                  1.126,                0.99835,                0.48039,                 0.4949,                0.41486,                0.70752,                0.46996,                 1.1756,              0.0010603,              0.0010603,              0.0010603
                     48,                0.65633,                0.40284,                 1.1145,                0.98112,                0.49978,                0.49672,                0.40358,                0.82782,                0.40735,                 1.2553,              0.0010561,              0.0010561,              0.0010561
                     49,                 0.6701,                 0.4114,                 1.1023,                0.99954,                    0.5,                 0.4975,                0.42109,                0.73045,                0.39811,                  1.161,               0.001052,               0.001052,               0.001052
                     50,                0.64665,                0.39026,                 1.1076,                0.99939,                    0.5,                 0.4975,                0.42656,                 0.6597,                0.38517,                 1.1051,              0.0010479,              0.0010479,              0.0010479
                     51,                 0.6601,                0.39651,                 1.1064,                0.99895,                    0.5,                 0.4975,                0.40172,                 0.7733,                0.44547,                 1.2606,              0.0010438,              0.0010438,              0.0010438
