                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.47132,                0.29424,                 1.0096,                0.99855,                    0.5,                 0.4975,                0.42665,                0.64145,                0.35209,                  1.145,             0.00063538,             0.00063538,             0.00063538
                    151,                0.46693,                 0.2806,                 1.0039,                0.98986,                    0.5,                0.49702,                0.41437,                0.74419,                0.37942,                 1.2705,             0.00063125,             0.00063125,             0.00063125
                    152,                0.44827,                0.26412,                0.99243,                0.99035,                    0.5,                 0.4975,                 0.4263,                0.66384,                0.35639,                  1.148,             0.00062713,             0.00062713,             0.00062713
                    153,                0.45579,                0.28422,                  1.002,                0.99022,                0.49169,                 0.4974,                0.41836,                0.68436,                0.37477,                 1.1901,               0.000623,               0.000623,               0.000623
                    154,                0.45891,                0.28737,                 1.0021,                0.99871,                    0.5,                 0.4975,                0.41889,                0.68017,                0.36945,                 1.1879,             0.00061887,             0.00061887,             0.00061887
                    155,                 0.4582,                 0.2752,                 1.0034,                0.99806,                    0.5,                 0.4975,                0.43242,                0.66805,                0.37464,                  1.164,             0.00061475,             0.00061475,             0.00061475
                    156,                0.45312,                0.27086,                0.99582,                0.99776,                    0.5,                 0.4975,                0.42226,                0.74873,                 0.3691,                 1.2238,             0.00061062,             0.00061062,             0.00061062
                    157,                0.47365,                 0.2853,                 1.0013,                0.99638,                    0.5,                 0.4975,                0.42773,                0.69966,                0.32985,                 1.1936,              0.0006065,              0.0006065,              0.0006065
                    158,                0.45279,                0.27055,                0.99452,                0.98947,                    0.5,                0.49683,                0.42249,                0.67124,                0.35416,                 1.1481,             0.00060238,             0.00060238,             0.00060238
                    159,                0.45813,                0.28571,                 1.0032,                0.99016,                    0.5,                 0.4975,                 0.4272,                  0.674,                0.32875,                 1.1389,             0.00059825,             0.00059825,             0.00059825
                    160,                0.43915,                0.27164,                0.98818,                0.99945,                    0.5,                 0.4975,                0.43004,                0.65585,                0.33475,                 1.1438,             0.00059413,             0.00059413,             0.00059413
                    161,                0.43792,                0.27063,                0.97668,                0.99945,                    0.5,                 0.4975,                0.42392,                0.67435,                0.34216,                  1.216,                0.00059,                0.00059,                0.00059
                    162,                0.45176,                0.26574,                0.98905,                0.99948,                    0.5,                 0.4975,                0.42722,                0.67887,                0.36641,                 1.1967,             0.00058588,             0.00058588,             0.00058588
                    163,                0.46388,                0.27367,                 1.0028,                0.98985,                    0.5,                 0.4974,                0.42507,                0.69471,                0.35787,                 1.2199,             0.00058175,             0.00058175,             0.00058175
                    164,                0.45592,                0.27037,                0.99024,                0.99704,                    0.5,                 0.4975,                0.42403,                0.70706,                0.37053,                 1.2315,             0.00057763,             0.00057763,             0.00057763
                    165,                0.43872,                0.27126,                0.98775,                0.99941,                    0.5,                 0.4975,                0.43911,                0.65795,                0.35297,                 1.1545,              0.0005735,              0.0005735,              0.0005735
                    166,                0.43957,                0.26319,                0.98729,                0.99946,                    0.5,                 0.4975,                0.42884,                0.68089,                0.32466,                 1.1974,             0.00056938,             0.00056938,             0.00056938
                    167,                0.41609,                0.25922,                0.98014,                0.99931,                    0.5,                 0.4975,                0.42788,                0.66188,                0.32728,                 1.1624,             0.00056525,             0.00056525,             0.00056525
                    168,                0.42955,                0.26855,                0.98728,                0.99944,                    0.5,                 0.4975,                0.42574,                0.69006,                0.37083,                 1.1936,             0.00056112,             0.00056112,             0.00056112
                    169,                0.43234,                0.27098,                0.99309,                0.99251,                    0.5,                 0.4975,                0.42564,                0.65031,                0.37019,                 1.1288,               0.000557,               0.000557,               0.000557
                    170,                0.45504,                0.27477,                0.99479,                0.99008,                    0.5,                 0.4975,                0.43354,                0.63629,                0.35496,                 1.1465,             0.00055287,             0.00055287,             0.00055287
                    171,                0.43235,                0.26779,                0.99102,                0.99033,                    0.5,                 0.4975,                0.43091,                0.62558,                0.32242,                 1.1326,             0.00054875,             0.00054875,             0.00054875
                    172,                0.41875,                0.26458,                0.97926,                0.99944,                    0.5,                 0.4975,                 0.4294,                0.64814,                0.30792,                 1.1665,             0.00054463,             0.00054463,             0.00054463
                    173,                0.43355,                0.26325,                0.97929,                0.99946,                    0.5,                 0.4975,                0.42076,                0.69177,                0.36949,                 1.1857,              0.0005405,              0.0005405,              0.0005405
                    174,                0.42644,                 0.2556,                0.97616,                0.98985,                    0.5,                 0.4974,                0.42414,                0.69443,                0.38837,                 1.1882,             0.00053638,             0.00053638,             0.00053638
                    175,                0.42846,                 0.2604,                 0.9923,                0.99945,                    0.5,                 0.4975,                0.42907,                0.65532,                0.33963,                 1.1679,             0.00053225,             0.00053225,             0.00053225
                    176,                0.43448,                0.26631,                0.98983,                0.98987,                    0.5,                 0.4974,                 0.4261,                0.66648,                0.38375,                  1.193,             0.00052812,             0.00052812,             0.00052812
                    177,                0.42798,                0.26756,                 0.9837,                0.99947,                    0.5,                 0.4975,                0.41941,                0.70339,                0.38857,                 1.2344,               0.000524,               0.000524,               0.000524
                    178,                0.42455,                0.26926,                0.98067,                0.99946,                    0.5,                 0.4975,                0.41809,                0.70275,                0.36795,                 1.2403,             0.00051988,             0.00051988,             0.00051988
